Date,Open,High,Low,Adj Close
16-02-17,281.3,281.45,272.85,278.8
15-02-17,285.2,286.4,278.6,280.75
14-02-17,283,285.9,281.3,284.65
13-02-17,282.5,284.1,279.55,281.65
10-02-17,285.6,286.15,280.1,281.6
09-02-17,286.6,288.75,278.6,285
08-02-17,288,288.5,282.7,285.8
07-02-17,288,292.7,285.3,288.1
06-02-17,283.55,292.25,283.55,290.3
03-02-17,284.95,284.95,278.8,281.55
02-02-17,282,287.5,280.55,285.8
01-02-17,265.85,283.5,262.8,281
31-01-17,268.8,274,266.45,268.95
30-01-17,273,275.6,269.7,270.8
27-01-17,263.05,274,260.7,272
26-01-17,259.95,259.95,259.95,259.95
25-01-17,259,260.8,255.6,259.95
24-01-17,258.55,258.55,255.65,257.15
23-01-17,261.8,261.8,255.15,257.55
20-01-17,267,267.95,262.55,263.45
19-01-17,268.8,270.7,266.2,269.7
18-01-17,267.4,272.1,266.75,268.45
17-01-17,269.5,271.5,265.5,268.4
16-01-17,267.4,270.85,264.8,269.3
13-01-17,270,270,264.8,268.05
12-01-17,266.6,269.5,265.45,268.35
11-01-17,262.5,268.1,261.6,264.7
10-01-17,260,261.9,258.3,260.2
09-01-17,257.9,259.85,256,258.7
06-01-17,258.25,261.4,257.2,258.15
05-01-17,253.2,258.5,252.2,257.25
04-01-17,254.25,255.75,250.4,251.1
03-01-17,252.1,255.4,249.3,254.4
02-01-17,256.3,256.3,248.1,251.95
30-12-16,252,257.5,251.35,255.3
29-12-16,252.1,253,250.05,251.1
28-12-16,254,254.8,251.05,251.75
27-12-16,249,254.35,246.7,253.55
26-12-16,252.25,252.45,247.1,248.15
23-12-16,252.95,254.75,250.15,251.85
22-12-16,252.7,254.8,250.65,252.95
21-12-16,253,255.35,251.2,253.25
20-12-16,256.7,256.7,250.25,251.6
19-12-16,255.4,258.95,254.75,257.1
16-12-16,260,260,254.85,255.6
15-12-16,258.7,261.7,257.75,260.3
14-12-16,264.5,264.7,260,260.55
13-12-16,263.4,265.35,262.5,264.4
12-12-16,267.5,268.3,263.85,264.85
09-12-16,263.95,269.8,263,268.45
08-12-16,260.55,263.4,258.4,262.75
07-12-16,262.8,264.4,251,258.7
06-12-16,262.25,262.65,259.55,261
05-12-16,259.6,261.4,257.8,260.85
02-12-16,258,264.6,255.85,259.5
01-12-16,266.25,268,257.75,259.15
30-11-16,257.45,266.5,255.95,265.55
29-11-16,255.5,259.4,254.3,255.45
28-11-16,256.65,256.65,253.5,255.3
25-11-16,262.4,262.4,257.05,260.1
24-11-16,263.8,263.8,258,259.3
23-11-16,264.1,265.85,260.5,264.95
22-11-16,265,266.6,259.3,262.7
21-11-16,266.2,267,254.85,261.2
18-11-16,268.45,269,262.3,264.6
17-11-16,267.95,270.65,264,267.65
16-11-16,276.6,278.2,264.2,266.2
15-11-16,277,280.8,266.15,269.75
14-11-16,276.4,276.4,276.4,276.4
11-11-16,287.25,294.25,274.5,276.4
10-11-16,288.5,298.4,286.7,292.6
09-11-16,254.9,284.75,245,281.45
08-11-16,285.8,287.45,278.25,283.2
07-11-16,275.8,281.2,272.5,278.7
04-11-16,271.9,272.5,265.35,269.8
03-11-16,272,276.4,268.4,269.75
02-11-16,270,273.25,268.75,271.9
01-11-16,279.45,279.75,274.5,275.35
31-10-16,276.85,276.85,276.85,276.85
28-10-16,282,282.5,275.55,276.85
27-10-16,277.4,285,275,284.3
26-10-16,284.45,284.45,277,278.4
25-10-16,289.2,291.6,284.6,289.25
24-10-16,279.15,286.45,279.15,284.55
21-10-16,276.25,280.05,274.1,277.4
20-10-16,267.15,278.9,267.15,277.6
19-10-16,271.35,271.7,263.25,265.05
18-10-16,259.55,271.4,259.5,270.35
17-10-16,246,259.9,245.55,258.75
14-10-16,241.2,243,239.7,241.75
13-10-16,247.8,248.4,239.1,241.15
12-10-16,250.1,250.1,250.1,250.1
11-10-16,250.1,250.1,250.1,250.1
10-10-16,251.9,253.2,249.15,250.1
07-10-16,250.9,253.9,248.2,250.6
06-10-16,257,257.05,249.2,251.25
05-10-16,259.95,260.6,254.6,255.45
04-10-16,256.85,259.95,254.9,258.2
03-10-16,251,256.9,250.1,256.15
30-09-16,248.05,253.3,246.95,252.15
29-09-16,263,263.5,243.3,250.35
28-09-16,260.4,262.45,259.05,260.75
27-09-16,263.55,264.3,259,260
26-09-16,268.5,268.7,261.8,262.55
23-09-16,275.8,275.85,269.9,271.25
22-09-16,276,277.9,272.3,275.5
21-09-16,272.8,273,266.95,269.9
20-09-16,271.9,274.2,269.35,272.1
19-09-16,268,272.4,267.8,271.6
16-09-16,271.75,275.6,266.3,267.35
15-09-16,271.7,273.75,268.2,270.6
14-09-16,266.7,273.8,266.35,271.45
13-09-16,268.2,268.2,268.2,268.2
12-09-16,267,269.45,262.7,268.2
09-09-16,274.55,276,270.1,274.1
08-09-16,278.6,280.7,275.55,276.35
07-09-16,274,283.75,272.15,278.15
06-09-16,262.7,273.9,262.7,272.7
05-09-16,261.3,261.3,261.3,261.3
02-09-16,262.5,264.3,260.25,261.3
01-09-16,258.75,264,258.75,260.95
31-08-16,257.1,260.85,257,258
30-08-16,252,256.9,252,256.25
29-08-16,245,252.65,244.6,250.5
26-08-16,248.2,248.8,243.2,245.3
25-08-16,247.95,250.2,246.1,246.95
24-08-16,250.2,251.7,247.85,248.45
23-08-16,250.45,252,248.75,250.2
22-08-16,254.25,254.95,248.7,252.25
19-08-16,253,255.7,251.55,253.9
18-08-16,247.85,253.8,247.75,252.9
17-08-16,248.1,251.6,245.2,247.6
16-08-16,246,249.45,243.85,248.55
15-08-16,245.95,245.95,245.95,245.95
12-08-16,243.5,247.6,241.2,245.95
11-08-16,240,243.35,237.55,242.7
10-08-16,246,246.55,238.15,239.35
09-08-16,245.4,248.5,244.5,245.35
08-08-16,246.1,247.7,244.55,245.25
05-08-16,244.1,248.65,244.1,245.95
04-08-16,244.85,245.05,236.65,240.35
03-08-16,244.7,247.25,240.55,242.1
02-08-16,249.45,249.45,245,245.3
01-08-16,255.9,261.3,248.2,249.5
29-07-16,270.05,271.35,262.05,262.9
28-07-16,270.9,274,270.45,272
27-07-16,262.8,273.8,262.8,270.6
26-07-16,268.45,269.5,260.1,261.65
25-07-16,261.9,270.95,260.75,268.65
22-07-16,262.35,264.4,258.85,263.45
21-07-16,266.9,269,261.3,261.9
20-07-16,267,268.2,265.45,267.5
19-07-16,265,270.5,263.25,269.15
18-07-16,265.8,271.25,262.55,263.4
15-07-16,269.5,269.85,263.4,265.75
14-07-16,261,269.6,259.65,268.6
13-07-16,264.25,267.7,259.1,261.15
12-07-16,251.6,262.2,250.75,261.7
11-07-16,246.6,250.7,246.6,249.85
08-07-16,244.5,244.5,239.55,241.95
07-07-16,245,247.05,244,244.85
06-07-16,245.1,245.1,245.1,245.1
05-07-16,250.8,251.1,244.55,245.1
04-07-16,243.1,248.95,241.9,248.15
01-07-16,241.7,242.65,239.55,240.35
30-06-16,239.5,242.8,239.3,240.55
29-06-16,235.9,238.3,234.25,236.65
28-06-16,230.6,234.2,230,233.15
27-06-16,229.3,234.4,229.3,232.7
24-06-16,229,232.9,221.1,230.95
23-06-16,239.05,241.45,236.05,240.9
22-06-16,237.1,242.35,235.8,239
21-06-16,240.25,241,236.25,237.85
20-06-16,233.65,239.45,233.65,238.1
17-06-16,241.45,242.2,235.15,238.45
16-06-16,243.7,243.7,238.05,239.05
15-06-16,245.5,249.2,241.6,242.95
14-06-16,247,247.45,244.3,240.01
13-06-16,248.4,248.4,242.45,238.83
10-06-16,253,257.65,251.5,247.51
09-06-16,257,259.25,253.2,249.42
08-06-16,255.2,261.2,252.8,252.45
07-06-16,245.5,254.85,244.7,248.98
06-06-16,243.4,246,242,238.59
03-06-16,242.9,246.4,242,238.83
02-06-16,239.1,242.4,237.6,236.48
01-06-16,243.9,245.45,239.1,235.21
31-05-16,248.45,249,241.3,239.72
30-05-16,243.25,246.6,238.8,239.57
27-05-16,239,248.2,238.1,238.25
26-05-16,235.9,243,233,236.29
25-05-16,226.95,235.6,226.6,230.26
24-05-16,222.6,225.2,221.6,220.02
23-05-16,222.1,223.9,220.35,216.64
20-05-16,225.5,226.3,219.6,215.66
19-05-16,226.45,228.5,224.2,221
18-05-16,223,227.45,221.8,221.88
17-05-16,225.35,227.5,222.25,221.39
16-05-16,227.7,227.7,217.7,219.24
13-05-16,230.45,230.45,223.4,221.93
12-05-16,228.5,232.9,228.25,227.13
11-05-16,220,226.55,218.7,219.43
10-05-16,225.4,227.5,222.6,220.95
09-05-16,219.6,226,219.1,220.76
06-05-16,214,220.25,213.2,214.19
05-05-16,214.3,219.9,213.75,210.32
04-05-16,218.45,220.8,213.45,210.13
03-05-16,225.75,230,220,216.64
02-05-16,227.3,230.5,225.4,222.18
29-04-16,240.75,244.4,231.3,232.17
28-04-16,245.4,248,239,235.26
27-04-16,250.9,251,243.25,239.67
26-04-16,250.85,254.7,246.5,248.93
25-04-16,253.1,255.35,251.15,247.85
22-04-16,256.25,257,250.2,246.92
21-04-16,246.25,257.8,246.25,247.95
20-04-16,239.1,239.6,234.1,233.25
19-04-16,237.15,237.15,237.15,232.37
18-04-16,243.5,243.95,234.6,232.37
15-04-16,240.65,240.65,240.65,235.8
14-04-16,240.65,240.65,240.65,235.8
13-04-16,233.1,244.2,233.05,235.8
12-04-16,224.3,230.9,223.8,224.14
11-04-16,222.2,225.2,219.1,220.17
08-04-16,220.55,223.8,219.55,216.79
07-04-16,222.8,224.25,219.15,215.86
06-04-16,227.3,228,220.1,218.06
05-04-16,236.4,237.5,225,221.05
04-04-16,240.25,241.05,234.65,233.94
01-04-16,236,239.45,232.7,233.49
31-03-16,238.2,241.35,233.7,231.88
30-03-16,228.5,239,226.8,232.71
29-03-16,223.3,226.95,222.4,218.9
28-03-16,234,234,223.9,220.9
25-03-16,234.2,234.2,234.2,229.48
24-03-16,234.2,234.2,234.2,229.48
23-03-16,231.45,235,230.8,229.48
22-03-16,234.6,234.6,230.6,228.89
21-03-16,231.55,235.6,231.45,230.11
18-03-16,228.2,231.45,226.15,225.56
17-03-16,230,236.25,224.95,223.16
16-03-16,219.9,227.4,218.55,221.83
15-03-16,222.8,224.85,220.5,216.89
14-03-16,219,222.8,218.65,217.18
11-03-16,213.35,218.55,212.6,209.54
10-03-16,218,218.85,214.6,211.15
09-03-16,212.8,217.9,210.05,211.99
08-03-16,219.95,219.95,214.3,212.48
07-03-16,220.5,220.5,220.5,216.05
04-03-16,221.75,224.4,219.05,216.05
03-03-16,218.6,220.3,214.2,213.6
02-03-16,211.7,221.4,211.1,215.56
01-03-16,195.25,206.45,195.25,200.82
29-02-16,184.8,195.9,181.7,186.22
26-02-16,184.3,185.95,180.75,181.07
25-02-16,187.7,189,181.55,179.31
24-02-16,189,191.2,185.85,183.23
23-02-16,199.4,199.4,190.25,188.13
22-02-16,197.5,201.3,196.45,194.45
19-02-16,195.8,201.45,195.25,194.79
18-02-16,193.5,199,193.2,192.19
17-02-16,196.5,197.15,188.85,186.9
16-02-16,207,207,195.5,192.64
15-02-16,193.9,207.3,193.9,199.4
12-02-16,196.6,198.4,190.5,189.65
11-02-16,203.75,206.95,198,195.23
10-02-16,203.1,209.5,202,203.07
09-02-16,204,211.5,200.75,205.18
08-02-16,211,215.5,206.15,204.34
05-02-16,205.5,211,203.6,205.18
04-02-16,206.4,206.4,200.5,199.84
03-02-16,207,208.8,202.55,199.94
02-02-16,218,219.7,209.7,206.16
01-02-16,227,227.35,215.9,212.82
29-01-16,219,234.3,219,225.51
28-01-16,238.55,239.55,231.25,228.5
27-01-16,238,239.3,234.7,232.51
26-01-16,236.05,236.05,236.05,231.29
25-01-16,235.95,238.5,234.2,231.29
22-01-16,232.6,234.9,229.8,228.06
21-01-16,228.5,233.5,224.2,221.74
20-01-16,224.9,227.9,220.1,219.87
19-01-16,224.65,231.25,224.65,224.14
18-01-16,224.2,228.7,217.8,218.6
15-01-16,235.6,236.3,221.75,219.92
14-01-16,234.2,239.8,231.8,231
13-01-16,237.8,242.9,231.1,234.67
12-01-16,241,241.85,235.6,231.98
11-01-16,241.9,243.9,238.05,234.62
08-01-16,244.5,247.8,243.45,240.11
07-01-16,246.4,247.7,243.1,241.77
06-01-16,255.4,256.75,249.2,245.06
05-01-16,256.25,257.5,251.7,251.52
04-01-16,261,261.35,254.65,250.4
01-01-16,261.3,263.6,258,257.7
31-12-15,262.1,263.85,260.15,256.08
30-12-15,263.25,264.45,261.75,257.06
29-12-15,264,266.5,261.5,259.41
28-12-15,260.05,265,260,258.73
25-12-15,257.95,257.95,257.95,252.75
24-12-15,263,263.6,257.3,252.75
23-12-15,259.6,262.95,259.1,256.57
22-12-15,256.5,263.5,256.45,254.32
21-12-15,250.1,259.5,250,252.99
18-12-15,252.1,253,249.85,245.06
17-12-15,253.95,255.3,250.1,248.05
16-12-15,247.25,253.5,243.65,246.97
15-12-15,247.9,247.9,243.05,241.43
14-12-15,247.3,251.95,245,243.98
11-12-15,260.55,261.1,247.15,244.27
10-12-15,260.85,261.9,256,253.73
09-12-15,260.8,261.95,258.4,254.22
08-12-15,261.75,262.5,259.65,256.18
07-12-15,264.3,264.55,261.6,257.75
04-12-15,263.05,264,260.8,256.18
03-12-15,268.65,270.05,265.1,260.44
02-12-15,274.55,275.4,268.55,264.95
01-12-15,275.05,276.75,273.3,268.38
30-11-15,268.2,277.5,268.2,268.03
27-11-15,265.75,271,264.4,264.6
26-11-15,263.25,267.7,263.25,258.68
25-11-15,263.35,263.35,263.35,258.04
24-11-15,263.35,265.4,259.65,258.04
23-11-15,266,267.75,257.3,260.59
20-11-15,264.6,270.25,263.5,259.61
19-11-15,263,268,262.6,261.03
18-11-15,267,268.25,259.5,255.2
17-11-15,271.7,272.35,265.05,262.45
16-11-15,261,268.35,259.6,261.86
13-11-15,260.35,263,259,256.47
12-11-15,262.8,262.8,262.8,257.5
11-11-15,262.8,262.8,262.8,257.5
10-11-15,261.5,266.4,260.45,257.5
09-11-15,259.3,265,256,257.84
06-11-15,269.9,269.9,264.75,261.71
05-11-15,272,273.5,268.75,264.6
04-11-15,280.95,280.95,272.5,267.84
03-11-15,280.4,282.7,278.2,273.81
02-11-15,277,281.3,275.7,273.91
30-10-15,272.25,279.65,270.5,271.41
29-10-15,272.3,274.3,270.35,265.98
28-10-15,280,280.7,269.1,265.73
27-10-15,284,285.9,282.1,277.98
26-10-15,287.75,289.75,283.75,279.6
23-10-15,285.95,289,284.65,280.48
22-10-15,282.7,282.7,282.7,277
21-10-15,285.55,287.85,278.8,277
20-10-15,286.5,289.5,284.3,280.43
19-10-15,289.4,289.9,285.6,281.41
16-10-15,286.5,292.7,282.55,283.61
15-10-15,284,287,283.65,280.58
14-10-15,283.45,285.2,281.95,277.2
13-10-15,285.9,289.7,284.5,281.65
12-10-15,287.7,291.5,285.25,281.8
09-10-15,281.5,287.9,280.55,280.33
08-10-15,282.4,282.4,277.15,272.83
07-10-15,280.9,283.8,277.2,277.29
06-10-15,284,284.85,280,277.05
05-10-15,272.4,282,272.4,275.28
02-10-15,267.1,267.1,267.1,261.71
01-10-15,273.45,273.45,266.05,261.71
30-09-15,271.3,272.3,265.7,264.9
29-09-15,263.7,272.65,256.35,263.58
28-09-15,272,272.7,266.45,262.69
25-09-15,268.3,268.3,268.3,262.89
24-09-15,271.4,273.6,267,262.89
23-09-15,266.95,275,264.15,267.84
22-09-15,278,280.35,269.1,265.09
21-09-15,271.9,280.35,271,273.67
18-09-15,278.25,285.35,274.8,272.25
17-09-15,272.85,272.85,272.85,267.35
16-09-15,272.5,273.95,269.05,267.35
15-09-15,273,273,266.8,263.09
14-09-15,266.25,273.3,263.1,266.91
11-09-15,267.35,269.9,264.4,262.15
10-09-15,260,270,256.25,262.01
09-09-15,267.95,269,262.65,259.22
08-09-15,251.8,262.3,249.2,255.54
07-09-15,260.05,261.25,247.7,244.08
04-09-15,264.9,265.1,254.65,252.55
03-09-15,268.65,269.8,261.7,261.47
02-09-15,276,276.75,263.1,259.51
01-09-15,275,278.45,268.3,265.49
31-08-15,282.9,284.35,276.35,272.3
28-08-15,285.05,289.3,281.65,277.98
27-08-15,282.75,284.5,280.2,276.75
26-08-15,279.95,282.25,275.7,272.44
25-08-15,276.55,284.4,267.15,277.78
24-08-15,282.4,284.85,267.5,264.51
21-08-15,293.75,297.9,288.6,290.52
20-08-15,300.25,306.75,295.85,292.24
19-08-15,301.05,305.4,300.5,298.36
18-08-15,303,304.2,297.7,295.03
17-08-15,301.95,304.7,296.85,296.79
14-08-15,294.25,303.8,292.05,296.5
13-08-15,295.25,298.7,290.85,286.01
12-08-15,300,300.15,290.1,285.77
11-08-15,309.9,309.9,300.75,296.16
10-08-15,310,314,307.15,303.36
07-08-15,309.9,312.55,308.45,303.9
06-08-15,312.75,312.85,307.45,304.78
05-08-15,314.75,319.8,309,305.07
04-08-15,313.5,315.25,307.05,307.72
03-08-15,304.45,314,304.2,306.59
31-07-15,294.45,308.9,294.1,296.3
30-07-15,290,293.65,287.5,285.13
29-07-15,287.5,289.9,284.05,283.42
28-07-15,291.7,295.35,282.7,279.25
27-07-15,299.85,299.85,290.1,285.23
24-07-15,311.8,311.8,299.3,294.54
23-07-15,316.85,317.7,312.25,306.59
22-07-15,310.8,317.7,309.8,310.41
21-07-15,317.5,317.5,310.4,305.17
20-07-15,318.95,319.8,312.1,309.43
17-07-15,318,321,316.55,311.05
16-07-15,314.75,318.25,314.4,310.71
15-07-15,313.9,316,313.35,308.3
14-07-15,317,317.1,312.05,307.13
13-07-15,314.5,317.2,312.8,310.02
10-07-15,312.5,314.9,310.25,306.84
09-07-15,307,310.95,305.7,303.26
08-07-15,308.4,311.6,306.3,301.35
07-07-15,314,318,311.55,306.3
06-07-15,309.1,316.75,305.25,308.79
03-07-15,311.75,315.5,310.9,308.21
02-07-15,314.3,315.45,311.1,306.69
01-07-15,308.7,313.5,308.7,305.9
30-06-15,310.05,313.6,304.05,301.79
29-06-15,302,313,300.15,304.92
26-06-15,315,315.05,308.55,305.41
25-06-15,316.35,319.65,313.2,308.45
24-06-15,313.7,320.4,312.65,311.34
23-06-15,314.95,316.8,312,307.18
22-06-15,306.4,315.9,306.05,308.7
19-06-15,300.4,306,300.4,298.41
18-06-15,304.55,305.7,302.35,297.23
17-06-15,304.25,304.3,300.05,295.27
16-06-15,297.05,303,293.9,295.96
15-06-15,295,300.35,293.2,293.17
12-06-15,289.5,297,287.15,289.98
11-06-15,296,297.2,286.5,282.68
10-06-15,287,294.35,286.7,286.6
09-06-15,282.9,287.8,282.05,281.31
08-06-15,285.65,285.65,280.35,277.44
05-06-15,291.2,292.4,283,278.37
04-06-15,291.8,292.8,285.45,284.25
03-06-15,304.25,304.25,290.8,284.89
02-06-15,317,317.5,303,293.32
01-06-15,317,319,316,304.83
29-05-15,317.1,318.9,314.8,305.6
28-05-15,314.25,316,311.5,302.95
27-05-15,311.8,314.8,307.5,301.65
26-05-15,312,313,308.65,298.32
25-05-15,312,314.1,310.95,300.68
22-05-15,315,318.15,311.75,302.08
21-05-15,320.2,320.8,312.7,302.03
20-05-15,316.25,321,316.25,307.04
19-05-15,313.95,318.9,312,303.77
18-05-15,315,316.9,312.9,304.63
15-05-15,315.3,316.45,310.55,300.88
14-05-15,317.7,317.95,311.25,303.38
13-05-15,313.15,319.15,306.5,305.98
12-05-15,323.55,324,307,296.88
11-05-15,320.05,325.8,319.1,311.62
08-05-15,310,318.9,310,305.36
07-05-15,312.2,313,300.6,293.41
06-05-15,326.9,338,310.15,300.68
05-05-15,329.3,330.9,327.1,316.39
04-05-15,332.75,336.9,326.2,317.2
01-05-15,331.15,331.15,331.15,318.99
30-04-15,331,333.6,325.2,318.99
29-04-15,327.8,334.8,325.1,318.02
28-04-15,305.6,328.6,305.6,314.84
27-04-15,310.7,312.45,296.7,291.2
24-04-15,312.45,312.55,307.1,296.93
23-04-15,314.25,315.9,309.75,300.4
22-04-15,313.25,315,303.4,301.46
21-04-15,311,316.6,309.95,299.43
20-04-15,312.9,317.6,308.3,299.72
17-04-15,314.05,314.95,308.25,298.71
16-04-15,315.9,316,310.15,301.02
15-04-15,318.35,322.3,313.05,303.43
14-04-15,316.9,316.9,316.9,305.26
13-04-15,319.9,319.9,316,305.26
10-04-15,319.5,321.65,317.2,306.61
09-04-15,318,321.9,316.9,308.82
08-04-15,318.9,319.7,314.55,303.53
07-04-15,322.95,323.45,315,305.74
06-04-15,325.45,325.45,319.35,309.45
03-04-15,323.15,323.15,323.15,311.28
02-04-15,323.15,323.15,323.15,311.28
01-04-15,315,324.4,314.05,311.28
31-03-15,318.9,322.75,313.8,303.91
30-03-15,316.3,319.5,313.35,306.99
27-03-15,313,316.2,308.25,303
26-03-15,311,313.7,302.6,296.64
25-03-15,312,319,311.1,305.26
24-03-15,310.5,316.65,309.45,300.44
23-03-15,322.05,322.4,312.45,302.27
20-03-15,328.9,329.25,316.7,306.9
19-03-15,339.5,341.4,328.35,318.07
18-03-15,333.1,336.55,331.05,322.5
17-03-15,332,336.5,330.15,322.55
16-03-15,329.5,333,325.65,319.28
13-03-15,345,346,329,318.07
12-03-15,337.55,339.7,334.65,325.78
11-03-15,333.6,336.95,329,320.43
10-03-15,332.7,337.8,330.35,321.39
09-03-15,342,342.95,331.75,320.58
06-03-15,347.75,347.75,347.75,334.98
05-03-15,346.4,349.9,340.1,334.98
04-03-15,360,362,346.05,336.52
03-03-15,348,349.5,344.1,335.84
02-03-15,350.85,351.95,340.55,336.23
27-02-15,324.6,337.05,323,322.94
26-02-15,324.7,325.45,320.15,309.5
25-02-15,327.6,331,321.25,310.65
24-02-15,329.5,331.4,324.5,314.07
23-02-15,333,334.5,327,316.92
20-02-15,335,335.8,328.5,318.79
19-02-15,340.1,343.85,332.25,326.11
18-02-15,339.7,344,339.7,329.82
17-02-15,338.05,338.05,338.05,325.63
16-02-15,346.95,346.95,336.4,325.63
13-02-15,344,345.9,340.2,331.22
12-02-15,338.2,341.35,330,326.69
11-02-15,334.1,339.95,333.95,322.41
10-02-15,318.5,335,316.4,318.89
09-02-15,327.5,327.5,318.5,308.29
06-02-15,336,340,327.7,317.25
05-02-15,340.9,345.3,332.75,323.27
04-02-15,346.05,347.25,340.25,331.99
03-02-15,352,356.8,345.1,333.87
02-02-15,360.3,360.7,350,338.93
30-01-15,381.45,382,354.65,347.45
29-01-15,380.1,383.8,375.55,366.33
28-01-15,382.95,393.4,381.6,369.94
27-01-15,374.5,384.8,372.7,369.41
26-01-15,370.7,370.7,370.7,357.08
23-01-15,374.9,375.5,368.7,357.08
22-01-15,368.9,372.3,364.6,356.22
21-01-15,366.5,370.95,365.15,354.92
20-01-15,359.7,369.25,359.7,354.24
19-01-15,355.5,361.8,353.5,347.55
16-01-15,352.85,354.6,347.45,340.85
15-01-15,352.15,356,347.55,339.89
14-01-15,339.25,341.8,333,324.53
13-01-15,349,349,339.75,328.38
12-01-15,342.75,347.6,338.7,333.82
09-01-15,349.95,350.4,337.1,329.29
08-01-15,345,348.5,341.2,334.69
07-01-15,345.6,346.25,335.45,325.83
06-01-15,359.4,359.9,346.2,334.88
05-01-15,365.3,367.4,361.5,349.71
02-01-15,352,363.5,352,348.99
01-01-15,352.7,353.45,350.2,339.36
